Inventaire Arbl;;08/10/23;;;;;;;;;;;
Numéro;Matériaux;Produit;Modèle;Dimensions L,l,h en cm.;Poids ;Descriptif;Remarque;Lieu;Emprunté par;Date;Courriel;Téléphone;Nombre de copies
1;Bois;Piper Cub J3 Squelette Bois;Avion;;;;Maquette de démonstration;La Minais;;;;;
2;Composite;Orca;Avion;;;Moule Fuseau;;La Minais;;;;;
3;Composite;Orca;Avion;;;Moule Capot Moteur;;La Minais;;;;;
4;Composite;Asw 15 3m;Planeur;;;Moule Fuseau;;La Minais;;;;;
5;Composite;N°1;?;;;Moule Capot Moteur;;La Minais;;;;;
6;Composite;Fox 2m;Planeur;;;Moule Fuseau;;La Minais;;;;;
7;Composite;N°2;?;;;Master Verrière;Plâtre;La Minais;;;;;
8;Composite;Ls3 3m;Planeur;;;Moule Fuseau;Mpx;La Minais;;;;;
9;Composite;Le Pointu (Petit);Planeur;;;Moule Fuseau;;La Minais;;;;;
10;Composite;N°3;?;;;Moule De ?;Bateau ?;La Minais;;;;;
11;Composite;Alpha 27;Planeur;;;Moule Fuseau;Mpx 3 Axes;La Minais;;;;;
12;Composite;Flamingo 1980;Planeur F3b;;;Moule Fuseau;Mpx 3 Axes;La Minais;;;;;
13;Composite;N°4;?;;;Moule Fuseau;;La Minais;;;;;
14;Composite;Ka6 4m;Planeur;;;Moule Fuseau;Mpx 3 Axes;Chez Ludovic;;;;;
15;Composite;B4;Planeur 3.7;;;Moule Fuseau;;La Minais;;;;;
16;Composite;Corback 140cm;Planeur Aile Volante ;;;Moule Fuseau;;La Minais;;;;;
17;Composite;N° 5;Planeur F3i;;;Moule Fuseau;;La Minais;;;;;
18;Composite;Asw 27 4,5m;Planeur ;;;Moule Fuseau;S2g;La Minais;;;;;
19;Composite;Le Pointu (Petit);Planeur;;;Fuselage Blanc;;La Minais;;;;;
20;Composite;Le Pointu (Grand);Planeur;;;Moule Fuselage;;La Minais;;;;;
21;Composite;N°6;Planeur;;;Moule Bulle;?;La Minais;;;;;
22;Composite;N°7;Planeur;;;Moule Bulle;?;La Minais;;;;;
23;Composite;N°8;Avion;;;Moule Capot Moteur;;La Minais;;;;;
24;Composite;N°9;Avion;;;Moule Capot Moteur;;La Minais;;;;;
25;Composite;N°10;Avion;;;Moule Capot Moteur;;La Minais;;;;;
26;Composite;Asw 24 4m;Planeur ;;;Moule Bacquet Cokpit;S2g;La Minais;;;;;
27;Composite;Ka6 4m;Planeur;;;Moule Bulle;Mpx 3 Axes;Chez Ludovic;;;;;
28;Composite;Asw 27 4,5m;Planeur ;;;Moule Bacquet Cokpit;S2g;La Minais;;;;;
29;Composite;Le Pointu (Grand);Planeur;;;Moule Bulle;;La Minais;;;;;
30;Composite;Fox 2m;Planeur;;;Moule Bulle;;La Minais;;;;;
31;Composite;Mini Twister;Planeur;;;Master Bulle;;La Minais;;;;;
32;Composite;Ls3, F3i, Ventus;Planeur;;;Master Bulle;;La Minais;;;;;
33;Composite;Ventus;Planeur;;;Master Bulle;;La Minais;;;;;
34;Composite;N°11;?;;;Moule Et Contre Moule Bacquet;;La Minais;;;;;
35;Composite;Alpha 27 270cm;?;;;Master Bulle;Mpx 3 Axes;La Minais;;;;;
36;Composite;N°12;?;;;Master Bulle;;La Minais;;;;;
37;Composite;T6;Avion;;;Master Bulle;;La Minais;;;;;
38;Composite;N°13;Planeur;;;Master Bois;;La Minais;;;;;
39;Composite;N°14;?;;;Moule Bulle En Resine;;La Minais;;;;;
40;Composite;N°15;?;;;Moule Capot Moteur;;La Minais;;;;;
41;Composite;N°16;?;;;Moule Capot Moteur;;La Minais;;;;;
42;Composite;N°17;?;;;Moule Capot Moteur;;La Minais;;;;;
43;Composite;Genesis;Planeur;;;Moule Fuselage;En Prêt A Rouen;En prêt;;;;;
44;Composite;Genesis;Planeur;;;Moule Bulle;En Prêt A Rouen;En prêt;;;;;
45;Composite;?;Voilier;;;Moule Pont De Voilier X;;La Minais;;;;;
46;Composite;Catamaran;Voilier;;;Moules Flotteurs;;La Minais;;;;;
47;Composite;Catamaran;Voilier;;;Master Bois;;La Minais;;;;;
48;Plastique;DF65 n°433;Voilier école;65,13,10;1,3 kg;Gréement A;avec ber, boite de transport;La Minais;;;;;
49;Plastique;DF65 n°434;Voilier école;65,13,10;1,3 kg;Gréement A;avec ber, boite de transport;La Minais;;;;;
50;Plastique;DF65 n°435;Voilier école;65,13,10;1,3 kg;Gréement A;avec ber, boite de transport;La Minais;;;;;
